exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,lot_size,tick_size,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,20784,1050ISFL28,NSE-1050ISFL28,Sec Re NCD 10.50% Sr 6,EQ,CASH,N5,INE413U07251,1.0,0.01,0,1,1050ISFL28-N5,0
NSE,7975,1015ECL29,NSE-1015ECL29,1015EFL29,EQ,CASH,NR,INE804IA7014,1.0,0.01,0,1,1015ECL29-NR,0
NSE,25914,1025UCL26A,NSE-1025UCL26A,UCL-10.25%-24-10-26-NCD,EQ,CASH,N1,INE583D07521,1.0,0.01,0,1,1025UCL26A-N1,0
NSE,23704,0MOFSL27,NSE-0MOFSL27,0MOFSL27,EQ,CASH,N3,INE338I07099,1.0,0.01,0,1,0MOFSL27-N3,0
NSE,756004,1050UCL28,NSE-1050UCL28,UCL-10.50%-24-10-28-NCD,EQ,CASH,NH,INE583D07596,1.0,0.01,0,1,1050UCL28-NH,0
NSE,24141,1003IIFL29,NSE-1003IIFL29,IIFLSFL-10.03%-21-6-29-NCD,EQ,CASH,NC,INE413U07301,1.0,0.01,1,1,1003IIFL29-NC,0
NSE,20779,1003ISFL28,NSE-1003ISFL28,ISFL-10.03%-21-12-28-NCD,EQ,CASH,N4,INE413U07269,1.0,0.01,0,1,1003ISFL28-N4,0
NSE,17349,1050NFL26,NSE-1050NFL26,1050NFL26,EQ,CASH,N7,INE342T07387,1.0,0.01,0,1,1050NFL26-N7,0
NSE,25916,1040UCL27B,NSE-1040UCL27B,UCL-10.40%-24-4-27-NCD,EQ,CASH,N1,INE583D07513,1.0,0.01,0,1,1040UCL27B-N1,0
NSE,19047,105IIFL29,NSE-105IIFL29,105IIFL29,EQ,CASH,N7,INE866I08295,1.0,0.01,0,1,105IIFL29-N7,0
NSE,7986,1060ECL29,NSE-1060ECL29,1060EFL29,EQ,CASH,NS,INE804IA7022,1.0,0.01,0,1,1060ECL29-NS,0
NSE,23119,1040NFL26,NSE-1040NFL26,NFL-10.40%-13-6-26-NCD,EQ,CASH,,INE342T07437,1.0,0.01,1,1,1040NFL26-NA,0
NSE,28933,1025SCL34Z,NSE-1025SCL34Z,SCL-10.25%-27-12-34-NCD,EQ,CASH,N1,INE148I07VI8,1.0,0.01,0,1,1025SCL34Z-N1,0
NSE,23970,1075SCL34,NSE-1075SCL34,IHFL-10.75%-31-5-34-NCD,EQ,CASH,ZR,INE148I07TP7,1.0,0.01,0,1,1075SCL34-ZR,0
NSE,23289,0SCL26,NSE-0SCL26,IHFL-ZC-26-3-26-NCD,EQ,CASH,YR,INE148I07SF0,1.0,0.01,0,1,0SCL26-YR,0
NSE,23121,1090NFL26,NSE-1090NFL26,NFL-10.90%-13-6-26-NCD,EQ,CASH,NB,INE342T07452,1.0,0.01,0,1,1090NFL26-NB,0
NSE,756000,1015UCL27,NSE-1015UCL27,UCL-10.15%-24-04-27-NCD,EQ,CASH,NF,INE583D07604,1.0,0.01,0,1,1015UCL27-NF,0
NSE,5212,10IIFL28,NSE-10IIFL28,10IHFL28,EQ,CASH,N4,INE477L08147,1.0,0.01,0,1,10IIFL28-N4,0
NSE,25566,1003SCL31A,NSE-1003SCL31A,SCL-10.03%-25-9-31-NCD,EQ,CASH,N1,INE148I07UR1,1.0,0.01,0,1,1003SCL31A-N1,0
NSE,22841,105UCL2026,NSE-105UCL2026,UCL-10.50%-27-5-26-NCD,EQ,CASH,NB,INE583D07463,1.0,0.01,0,1,105UCL2026-NB,0
NSE,14710,1015SCL28A,NSE-1015SCL28A,IHL-10.15%-23-3-28-NCD,EQ,CASH,AL,INE148I07OH5,1.0,0.01,0,1,1015SCL28A-AL,0
NSE,25912,1015UCL26,NSE-1015UCL26,UCL-10.15%-24-4-26-NCD,EQ,CASH,N1,INE583D07505,1.0,0.01,0,1,1015UCL26-N1,0
NSE,756002,1025UCL27A,NSE-1025UCL27A,UCL-10.25%-24-10-27-NCD,EQ,CASH,NG,INE583D07588,1.0,0.01,0,1,1025UCL27A-NG,0
NSE,6833,1018GS2026,NSE-1018GS2026,1018GOI2026,EQ,CASH,GS,IN0020010081,1.0,0.01,0,1,1018GS2026-GS,0
NSE,24143,1050IIFL29,NSE-1050IIFL29,IIFLSFL-10.50%-21-6-29-NCD,EQ,CASH,ND,INE413U07319,1.0,0.01,0,1,1050IIFL29-ND,0
NSE,2871,10IIFL28A,NSE-10IIFL28A,10IFL28,EQ,CASH,NE,INE530B08094,1.0,0.01,0,1,10IIFL28A-NE,0
NSE,755998,1039UCL26,NSE-1039UCL26,UCL-10.39%-24-10-26-NCD,EQ,CASH,NE,INE583D07570,1.0,0.01,0,1,1039UCL26-NE,0
NSE,12465,10CAGL27,NSE-10CAGL27,CREDITACC,EQ,CASH,N5,INE741K07496,1.0,0.01,0,1,10CAGL27-N5,0
NSE,24223,1190VCCL26,NSE-1190VCCL26,VCCL 11.90% 2026,EQ,CASH,N0,INE04HY07120,1.0,0.01,1,1,1190VCCL26-N0,0
NSE,16921,20MICRONS,NSE-20MICRONS,20 Microns,EQ,CASH,EQ,INE144J01027,1.0,0.01,1,1,20MICRONS-EQ,0
NSE,17866,10NIDO26,NSE-10NIDO26,10EHFL26,EQ,CASH,N6,INE530L07228,1.0,0.01,0,1,10NIDO26-N6,0
NSE,4,21STCENMGM,NSE-21STCENMGM,21st Cent Mgt,EQ,CASH,EQ,INE253B01015,1.0,0.01,1,1,21STCENMGM-EQ,0
NSE,759283,12AFIL28,NSE-12AFIL28,AFIL 12% 2028,EQ,CASH,N0,INE916Y07057,1.0,0.01,0,1,12AFIL28-N0,0
NSE,24828,119VCCL26,NSE-119VCCL26,VEDIKA CREDIT 11.9% 2026,EQ,CASH,N0,INE04HY07146,1.0,0.01,1,1,119VCCL26-N0,0
NSE,18868,10SCL30A,NSE-10SCL30A,IBULHSGFIN,EQ,CASH,BV,INE148I07PO8,1.0,0.01,0,1,10SCL30A-BV,0
NSE,25466,12VCCL29,NSE-12VCCL29,VCCL 12% 2029 SR B,EQ,CASH,N0,INE04HY07153,1.0,0.01,0,1,12VCCL29-N0,0
